,Manufacturer,Model,Application(s),Power,SFC,Airflow,OPR,Number,LPC,HPC,HPT,IPT,LPT,Length,Diameter,Weight
131,Garrett,TPE331-10R,C-41A,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,,0.6604,172.36496
132,Garrett,TPE331-10T,YMQ-9A (Predator B),733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,,0.6604,172.36496
133,Garrett,TPE331-10T-516K,"Turbo Commander 690A/690B, Commander 840/900",733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
134,Garrett,TPE331-10UF,Jetstream T.3,733.7688,0.33455256331299,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,172.36496
135,Garrett,TPE331-11-601W,IA 66 prototype,745.7,0.322387015556154,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
136,Garrett,TPE331-11U-601G,C-26A,745.7,0.322387015556154,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
137,Garrett,TPE331-11U-611G,C-26A,745.7,0.322387015556154,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
138,Garrett,TPE331-12UA-701G,C-26B,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
139,Garrett,TPE331-12UAR-701G,C-26B,858.3007,0.3175207964534196,,10.8,1,,2C,3.0,,,1.1683999999999999,0.6604,181.4368
140,Isotov (Klimov),TV2-117A,"Mi-8 'Hip', Mi-9 'Hip-G', Mi-14GP 'Haze'",1245.319,0.36496643270507995,18.0,6.6,1 + FT,,10,2.0,,2.0,2.8321,0.74422,337.92604
141,Baranov (OMSK),TVD-20-03,An-38-200,1029.066,0.3077883582479508,,,1 + FT,,7 + 1C,2.0,,2.0,1.77038,0.8509,284.855776
142,PZL Rzeszów,TWD-10W,W-3L/RM/U,662.1816,0.36496643270507995,10.0,7.4,1 + FT,,6 + 1A,2.0,,1.0,1.8745199999999997,0.76454,140.61352
143,Rolls-Royce,Tyne RTy.12 Mk.101,Belfast C.1,4071.522,0.27372482452881,,13.5,2,6,9,1.0,,3.0,2.7685999999999997,1.09728,1006.5206479999999
144,Rolls-Royce,Tyne RTy.20 Mk.21,Atlantic ATL2 (Br.1150),4366.8192,0.28589037228564596,47.0,14.0,2,6,9,1.0,,3.0,2.7685999999999997,1.09728,999.263176
145,Rolls-Royce,Tyne RTy.20 Mk.22,"C-160A/D/F/G/H/NG/R/P/T/Z, C-160AAA/ASF/S/SE  (not produced)",4548.77,0.28589037228564596,,14.0,2,6,9,1.0,,3.0,2.7685999999999997,1.09728,999.263176
146,Rolls-Royce,Tyne RTy.20 Mk.801,G222T,4086.436,0.2755496566923354,,14.0,2,6,9,1.0,,3.0,2.7685999999999997,1.09728,992.005704
